% Model,参数扫描固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 22:15"
% Table,表格 19 - 表面平均 7
% w,速度场，z 分量 (m/s)
80,7.885474568197594
78,8.359086882001929
76,8.830357250453993
74,9.297416028541505
72,9.761830490976383
70,10.223417305007576
68,10.680893116489138
66,11.136482461418543
64,11.583734897975614
62,12.030899872943198
60,12.475717087337022
58,12.917371479866071
56,13.356859239423244
54,13.793134532965876
52,14.227053657624403
50,14.657696793230414
48,15.087030848467606
46,15.513079558244385
44,15.936638443648206
42,16.35899277964637
40,16.77805461365527
38,17.196550821971684
36,17.61262039347835
34,18.026026270839775
32,18.43840128862785
30,18.849751665354436
28,19.2581488540405
26,19.665823156957877
24,20.071589345937102
22,20.47627445891886
20,20.879256109132495
