% Model,瞬态固体和流体传热湍流 - 副本.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 20:21"
% Table,表格 22 - 体平均 1
% Time (s),温度 (K)
0,328031.8221493729
5,406406.1053171144
10,403390.18245177134
15,399257.294731611
20,394927.4935553973
25,390726.1082628
30,386726.1051785546
35,382952.1929009064
40,379406.81931060925
45,376081.1892304608
50,372968.47539562226
55,370035.596728431
60,367281.92881656776
65,364711.47316244757
70,362306.5621126714
75,360033.5765186202
80,357917.2518597365
85,355957.5881360235
90,354100.51406150154
95,352362.870411773
100,350752.38444422855
105,349251.8732352603
110,347827.74070096755
115,346504.54844147956
120,345282.29645680037
125,344122.96074856695
130,343038.04683679703
135,342033.18468117027
140,341092.3347668208
145,340183.27336421184
150,339329.41206231946
155,338530.75086114404
160,337787.289760686
165,337099.02876094315
170,336465.96786191873
175,335877.17909390567
180,335315.5687734791
185,334801.1587124896
190,334336.1850885186
195,333908.5228921799
195,333908.5228921799
195.1,333900.2220541537
195.2,333891.9315757899
195.3,333883.6514570925
195.4,333875.3816980614
195.5,333867.12229869416
195.6,333858.8732589948
195.7,333850.63457896066
195.8,333842.4062585907
195.9,333834.1882978868
196,333825.98069684755
196.1,333817.7834554767
196.2,333809.59657376836
196.3,333801.42005172634
196.4,333793.25388935
196.5,333785.0980866397
196.6,333776.9526435956
196.7,333768.8175602139
196.8,333760.6928365
196.9,333752.5784724518
197,333744.4744680676
197.1,333736.3808233502
197.2,333728.29753829836
197.3,333720.2246129114
197.4,333712.16204719077
197.5,333704.1098411343
197.6,333696.0679947446
197.7,333688.0365080196
197.8,333680.01538096054
197.9,333672.0046135678
198,333664.0042058392
198.1,333656.014157776
198.2,333648.0344693795
198.3,333640.065140649
198.4,333632.106171583
198.5,333624.1575621814
198.6,333616.2193124466
198.7,333608.2914223768
198.8,333600.37389197253
198.9,333592.46672123385
199,333584.5699101609
199.1,333576.683458754
199.2,333568.8073670124
199.3,333560.94163493544
199.4,333553.08626252436
199.5,333545.24124977796
199.6,333537.22169699625
199.7,333529.1599909399
199.8,333521.17864068464
199.9,333513.23793724575
200,333504.4568759015
200.1,333495.1436849879
200.2,333484.84517029073
200.3,333471.1459538069
200.4,333457.17434044596
200.5,333441.88171650434
200.6,333419.8314885509
200.7,333397.7812605985
200.8,333375.73103264486
200.9,333353.6808046936
201,333331.6305767412
201.1,333304.3018731248
201.2,333273.9895459809
201.3,333243.6772188355
201.4,333213.3648916925
201.5,333183.05256454775
201.6,333151.8713242209
201.7,333113.95277122763
201.8,333076.03421823547
201.9,333038.1156652431
202,333000.19711225125
202.1,332962.2785592578
202.2,332922.6267820622
202.3,332881.0042812847
202.4,332838.42019482114
202.5,332794.87452266936
202.6,332750.3672648328
202.7,332704.8984213083
202.8,332658.4679920973
202.9,332611.0759771995
203,332562.72237661475
203.1,332513.4071903449
203.2,332463.1304183868
203.3,332411.7556602741
203.4,332359.269718663
203.5,332305.7786269717
203.6,332251.28238519793
203.7,332195.7809933435
203.8,332139.274451407
203.9,332081.7627593897
204,332023.2459172911
204.1,331963.72392511164
204.2,331903.1967828504
204.3,331841.6644905077
204.4,331779.7968273212
204.5,331717.79449535307
204.6,331655.0234064884
204.7,331591.4835607228
204.8,331527.17495805875
204.9,331462.0975984974
205,331396.25148203666
205,331396.25148203666
206,330695.508688006
207,329930.07977842534
208,329118.4137489651
209,328256.9601856016
210,327373.681816627
211,326456.77269925387
212,325532.2457624852
213,324590.18416169024
214,323643.78538703785
215,322692.7229380484
216,321740.796942332
217,320791.62897061836
218,319845.7188189773
219,318908.91957546305
220,317978.3199318866
221,317053.91988824797
222,316135.7194445468
223,315229.721897385
224,314332.3697484513
225,313443.51308187324
226,312563.1518976557
227,311693.3065778953
228,310834.75104161573
229,309986.1677055057
230,309147.5565695649
231,308318.91763379297
232,307500.25089819246
233,306691.5563627605
234,305892.8340274979
235,305104.0838924048
236,304381.8116654525
237,303683.9351428129
238,302986.0586201734
239,302288.18209753174
240,301590.30557489337
241,300892.4290522533
242,300194.552529612
243,299496.67600697366
244,298798.7994843325
245,298164.2051065289
