% Model,参数扫描固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 22:14"
% Table,表格 17 - 表面平均 6
% w,温度 (K)
80,528.7271609260027
78,560.4467684182661
76,591.9536999791775
74,623.2318106166324
72,654.2914056283893
70,685.133937672654
68,715.7506166266635
66,746.1674719510437
64,776.3287945948715
62,806.3041070761983
60,836.0798928966253
58,865.6608298084592
56,895.0527694687578
54,924.2574969949868
52,953.2860019586294
50,982.1361519007103
48,1010.8281385942489
46,1039.3552028400475
44,1067.7292386283927
42,1095.9633182629716
40,1124.051352358353
38,1152.0124730489263
36,1179.8394644260086
34,1207.5397179879678
32,1235.1309977053893
30,1262.6129898310012
28,1289.9787808436688
26,1317.2382176810559
24,1344.4022601301829
22,1371.4737059828437
20,1398.4432672102612
