% Model,参数扫描固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 22:17"
% Table,表格 20 - 体平均 4
% w,温度 (K)
80,506.08402512966995
78,534.8600148098549
76,563.4517184606976
74,591.8428051604413
72,620.0383750244795
70,648.0358236137802
68,675.8390863507149
66,703.4480850944782
64,730.8691407012063
62,758.1073845533836
60,785.1669104854673
58,812.0461435823875
56,838.7583187564619
54,865.3060633237773
52,891.6978844878248
50,917.9346846000557
48,944.0243795455274
46,969.9749734249453
44,995.7919485022167
42,1021.4831651863173
40,1047.0498106481903
38,1072.5088857140113
36,1097.855440474597
34,1123.0931272438747
32,1148.2274776838613
30,1173.265958316297
28,1198.2085204105797
26,1223.0729867819223
24,1247.8448867499333
22,1272.5324690143038
20,1297.1453113651876
