% Model,参数扫描固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 22:13"
% Table,表格 16 - 面标准差 1
% w,温度 (K)
80,2.743025976262311
78,3.1949221299345503
76,3.6113592546454356
74,4.068964245660326
72,4.520557483890799
70,4.975201115844004
68,5.416082295494423
66,5.865465293365181
64,6.281770423215985
62,6.673909999604424
60,7.0452066820745465
58,7.444883914389171
56,7.824867972453546
54,8.209446518095985
52,8.585186380559284
50,8.964848131754216
48,9.345186746265256
46,9.71737397709666
44,10.093262049191082
42,10.457831674371214
40,10.834954209748354
38,11.179029782791513
36,11.525849077786733
34,11.877181447257895
32,12.240079434865411
30,12.596167887093983
28,12.954558988855904
26,13.274889779851438
24,13.61794978760681
22,13.965747506286556
20,14.27953424629679
