% Model,参数扫描固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 22:14"
% Table,表格 15 - 表面最小值 1
% w,温度 (K)
80,518.3622713372703
78,547.7273621779209
76,576.9481981471348
74,605.6975000498546
72,634.1655407994319
70,662.3346629508998
68,690.4025891358883
66,718.0848515478569
64,745.991344897403
62,773.9587607540803
60,801.8215076346745
58,829.2163600808475
56,856.5574031049292
54,883.6563885308457
52,910.6232972203912
50,937.4321889516747
48,964.1152531541106
46,990.686684033362
44,1017.155203627537
42,1043.5124085837936
40,1069.7839301987583
38,1095.8847296269819
36,1121.9401383837037
34,1147.9426922626583
32,1173.883514977208
30,1199.7706076644433
28,1225.602630903161
26,1251.3420988636371
24,1277.0753651714742
22,1302.7489682693347
20,1328.3981093791904
