L_m,A_m2,M_H_kg,tau_r_min,w_tar_k_pct,Tg_C,vg_m_per_s,Tm_C,w_opt_pct,dw_minus,dw_plus,Qsup_kW,Qreq_kW,Q_margin_kW,Q_ratio,tau_need_min,tau_margin_min,Power_kW,sigma_burn,mdot_preheater_kg_per_s,Tmin_burn_C,Tavg_burn_C,Tmax_burn_C,deltaT_C,stage1_obj,stage2_obj,stage3_obj,max_violation,feasible
6.8,47.16912873805859,484.50898540723233,34.88464694932073,31.070993064553004,273.82762590779123,3.0,82.39122395147778,31.07099377439882,1.7125989686613834e-12,7.098475264249921e-07,541.7994698643354,541.7994797917211,-9.927385690389201e-06,0.9999999816770114,34.884646949116004,2.0472867845455767e-10,257.90327166003135,16.59084466223552,0.9676730915608536,859.0675839071732,886.1399906861132,1087.9012381639295,191.43640195631343,3.6127476563947684e-06,16.5908445846205,257.90327166003135,9.927385690389201e-06,True
6.4,44.39447410640809,456.00845685386577,32.83260889347834,31.070993064553004,298.76968050867646,3.0,91.98691257050017,31.07099372059167,1.3169202352803271e-11,6.560518343567416e-07,550.8070093552101,550.8070131464755,-3.7912653851890354e-06,0.9999999931168898,32.83260889348277,-4.433786671143025e-12,270.8931488869839,16.590844676602025,0.9254717896856471,859.067584580516,886.1399913921166,1087.901239030499,206.78276793817628,3.9043408677425e-06,16.590844584761314,270.8931488869839,3.7912653851890354e-06,True
6.0,41.61981947475758,427.50792830049915,30.78057083763594,31.070993064553004,325.75791464158095,3.0,101.58260119243064,31.070993658847506,2.015633711059597e-11,5.943146581133091e-07,559.814542348814,559.8145465085,-4.159686000093643e-06,0.9999999925695285,30.780570837596056,3.9882763758214423e-11,283.72994961432147,16.590844693087718,0.8837678002528448,859.0675853531825,886.1399922022619,1087.901240024895,224.1753134491503,4.208449993883906e-06,16.59084458472546,283.72994961432147,4.159686000093643e-06,True
5.6,38.84516484310707,399.0073997471325,28.728532781793543,31.070993064553004,355.23080005841575,3.000000000071858,111.17828981834572,31.070993586205656,2.2817498320316005e-15,5.216526519947406e-07,568.8220798263671,568.8220798804987,-5.4131533033796586e-08,0.9999999999048358,28.728532781793554,-1.0658141036401503e-14,296.4889638150668,16.59084471248309,0.8423165224658072,859.0675862622226,886.1399931553956,1087.9012411947992,244.05251024007003,4.5264534889623205e-06,16.590844584760852,296.4889638150668,5.4131533033796586e-08,True
5.2,36.070510211456565,370.50687119376596,26.676494725951148,31.070993064553004,387.76171337082445,3.0000000000028897,120.77397845328088,31.07099350018131,4.253083806204088e-13,4.3562872894166636e-07,577.8296121217091,577.8296132686198,-1.1469106766526238e-06,0.9999999980151404,26.67649472498588,9.652687538164173e-10,309.2506283578958,16.59084473545159,0.8008566342057567,859.0675873387313,886.139994284121,1087.90124258023,266.98773491754355,4.861696018510271e-06,16.59084458476434,309.2506283578958,1.1469106766526238e-06,True
4.8,33.295855579806066,342.0063426403993,24.62445667010875,31.070993064553004,424.1151609949112,3.0,130.36966708442026,31.07099339692424,1.0868076476312037e-12,3.3237232595952297e-07,586.8371381680382,586.8371466630355,-8.494997246089042e-06,0.9999999855240976,24.62445667010866,8.881784197001252e-14,322.10295080973276,16.59084476302123,0.7591022180450964,859.0675886308902,886.1399956389571,1087.9012442431954,293.74549391049095,5.217931775064345e-06,16.59084458476434,322.10295080973276,8.494997246089042e-06,True
4.4,30.52120094815556,313.5058140870327,22.572418614266358,31.070993064553004,465.3336636908195,3.0,139.96535572063758,31.070993271014967,6.348002813853565e-11,2.065252000527285e-07,595.8446788230519,595.8446800751756,-1.2521236385509837e-06,0.9999999978985737,22.572418615519158,-1.2528005299827782e-09,335.14454784288046,16.590844796639004,0.7167328897046642,859.0675902065188,886.1399972910126,1087.9012462709768,325.36830797018195,5.6002888552218814e-06,16.59084458476434,335.14454784288046,1.2521236385509837e-06,True
4.0,27.746546316505054,285.0052855336661,20.52038055842396,31.070993064553004,512.8767249753164,3.0,149.5610443792607,31.070993113158217,2.903731409666586e-10,4.889558255335937e-08,604.8522124096824,604.8522135266231,-1.1169407798661268e-06,0.9999999981533658,20.52038055831667,1.0728840038609633e-10,348.4885579314801,16.590844838786758,0.6733810867479473,859.0675921819382,886.139999362251,1087.9012488132755,363.3156805960557,6.0157779462678465e-06,16.59084458476434,348.4885579314801,1.1169407798661268e-06,True
3.6,24.971891684854548,256.5047569802995,18.46834250258156,31.070993064553004,553.9374115420226,3.258753150004151,159.15673283542728,31.07099306456095,2.171213974082593e-16,0.0,613.8597467255835,613.8597467255236,5.991296347929165e-11,1.0000000000000977,18.468342502580875,6.856737400084967e-13,389.72357325299026,16.590844851762228,0.6951475956480694,859.0675927900844,886.1399999998957,1087.9012495959394,394.78067870659527,6.474233127516564e-06,16.590844584764,389.72357325299026,7.94386778579792e-12,True
3.2,22.197237053204045,228.00422842693288,16.41630444673917,31.070993064553004,595.4976349473859,3.671203821573198,168.75242618399318,31.070993064546702,5.204391268622286e-13,0.0,622.8672844893024,622.867284489159,1.4335910236695781e-10,1.0000000000002303,16.416303384961058,1.0617781107669089e-06,450.582862083126,16.59084485176603,0.7456616834863189,859.0675927902627,886.1400000000826,1087.9012495961688,426.7452087633927,6.9899176969185424e-06,16.59084458476434,450.582862083126,5.7838178690872155e-12,True
