% Model,瞬态固体和流体传热湍流.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 17 2026, 02:21"
% Table,表格 20 - 体平均 1
% Time (s),温度 (K)
0,1297.1456463657803
1,1296.920430791643
2,1296.6829278663972
3,1296.4917377913812
4,1296.750135840666
5,1296.9032869197663
6,1296.9688297335988
7,1297.022268854536
8,1296.977064621285
9,1296.9962523534034
10,1297.0287626103402
11,1296.9819928778018
12,1296.935223145258
13,1297.0061359088288
14,1297.078449087433
15,1297.0840676449448
16,1297.043010125696
17,1297.0019526064564
18,1296.9608950872127
19,1296.9198375679707
20,1296.9373443851246
21,1296.9705708904132
22,1297.0037973957053
23,1297.0370239009912
24,1297.0702504062824
25,1297.055420852704
26,1297.0400312414683
27,1297.024641630228
28,1297.0092520189878
29,1296.9938624077506
30,1296.9784727965105
31,1296.9630831852753
32,1296.947693574036
33,1296.9323039627948
34,1296.9294625482967
35,1296.9463577343695
36,1296.963252920443
37,1296.9801481065174
38,1296.9970432925873
39,1297.013938478658
40,1297.0308336647304
41,1297.0477288507973
42,1297.0646240368737
43,1297.0815192229484
44,1297.079249178096
45,1297.0718496429931
46,1297.0644501078937
47,1297.0570505727935
48,1297.0496510376906
49,1297.0422515025925
50,1297.0348519674938
51,1297.0274524323893
52,1297.0200528972905
53,1297.0126533621888
54,1297.0052538270866
55,1296.9978542919873
56,1296.9904547568835
57,1296.9830552217823
58,1296.9756556866853
59,1296.968256151585
60,1296.9608566164839
61,1296.9534570813853
62,1296.946057546281
63,1296.9469573690103
64,1296.9536424940677
65,1296.9603276191285
66,1296.9670127441905
67,1296.9736978692495
68,1296.9803829943091
69,1296.98706811937
70,1296.993753244426
71,1297.0004383694848
72,1297.0071234945462
73,1297.0138086196046
74,1297.0204937446626
75,1297.027178869721
76,1297.033863994778
77,1297.0405491198412
78,1297.0472342448986
79,1297.0539193699606
80,1297.0606044950166
81,1297.0672896200801
82,1297.0818738214264
83,1297.1088321178165
84,1297.1357904142108
85,1297.1627487105998
86,1297.189707006987
87,1297.1838939618997
88,1297.1552819928813
89,1297.1266700238655
90,1297.0980580548517
91,1297.069446085838
92,1297.0408341168172
93,1297.0122221478046
94,1296.9836101787837
95,1296.9549982097694
96,1296.9263862407524
97,1297.1239034353625
98,1297.1161208730978
99,1297.053134246988
100,1294.7107219215286
101,1052.7696340812715
102,1050.32387460481
103,1050.2027055845128
104,1050.2726349671348
105,1050.2148867462465
106,1050.2045411176034
107,1050.1757700754206
108,1050.142530925383
109,1050.129141486856
110,1050.1990144921385
111,1050.2092661718555
112,1050.1424588645925
113,1050.2065912479727
114,1050.1893958501541
115,1050.1704440884212
116,1050.1700544761284
117,1050.150173352784
118,1050.1302922294446
119,1050.161725078423
120,1050.198164204125
121,1050.1901435953716
122,1050.1655880909232
123,1050.141032586475
124,1050.1164770820271
125,1050.1048793086088
126,1050.1158715994407
127,1050.1268638902666
128,1050.1378561810955
129,1050.1488469798817
130,1050.1473237403259
131,1050.145800500766
132,1050.1442772612058
133,1050.1427540216516
134,1050.1412307820922
135,1050.1397075425355
136,1050.13818430298
137,1050.1366610634186
138,1050.1365276677052
139,1050.1401268382274
140,1050.1437260087503
141,1050.1473251792706
142,1050.1509243497928
143,1050.1545235203123
144,1050.158122690834
145,1050.1617218613515
146,1050.1653210318764
147,1050.1644773890343
148,1050.1598875414882
149,1050.1552976939413
150,1050.1507078463994
151,1050.1461179988553
152,1050.1415281513139
153,1050.1369383037654
154,1050.1323484562206
155,1050.1277586086765
156,1050.1231687611325
157,1050.1185789135884
158,1050.1139890660465
159,1050.1093992185
160,1050.104809370953
161,1050.1002195234103
162,1050.095629675863
163,1050.0910398283208
164,1050.0877646463196
165,1050.0986511046526
166,1050.1095375629864
167,1050.1204240213206
168,1050.1313104796566
169,1050.1421969379912
170,1050.153083396322
171,1050.1639698546555
172,1050.1748563129925
173,1050.1857427713273
174,1050.1966292296588
175,1050.2075156879962
176,1050.2184021463265
177,1050.2292886046653
178,1050.2401750629983
179,1050.2510615213323
180,1050.2619479796651
181,1050.272834438
182,1050.2723073128864
183,1050.2650007598952
184,1050.257694206903
185,1050.2503876539126
186,1050.2430811009237
187,1050.2357745479296
188,1050.2284679949407
189,1050.2211614419502
190,1050.2138548889602
191,1050.2065483359709
192,1050.1992417829747
193,1050.1919352299872
194,1050.184628676994
195,1050.1773221240069
196,1050.1700155710123
197,1050.1627090180205
198,1050.1554024650334
199,1050.1480959120386
200,1050.1407893590517
201,1050.1334828060594
202,1050.1261762530662
203,1050.1188697000791
204,1050.111563147089
205,1050.1042565940957
206,1050.0969500411034
207,1050.0896434881158
208,1050.0823369351233
209,1050.075030382129
210,1050.0677238291398
211,1050.0604172761512
212,1050.0531107231575
213,1050.0458041701656
214,1050.038497617176
215,1050.0311910641863
216,1050.0238845111971
217,1050.0246324089196
218,1050.0286352902947
219,1050.0326381716693
220,1050.0366410530396
221,1050.040643934418
222,1050.0446468157922
223,1050.0486496971637
224,1050.0526525785385
225,1050.056655459914
226,1050.0606583412864
227,1050.064661222664
228,1050.068664104036
229,1050.0726669854093
230,1050.0766698667842
231,1050.080672748162
232,1050.0846756295339
233,1050.0886785109103
234,1050.092681392282
235,1050.0966842736555
236,1050.1006871550348
237,1050.1046900364047
238,1050.1086929177798
239,1050.112695799152
240,1050.1166986805322
241,1050.1207015619043
242,1050.1247044432757
243,1050.1287073246524
244,1050.1327102060263
245,1050.1367130874019
246,1050.1407159687753
247,1050.1447188501468
248,1050.148721731526
249,1050.1527246128983
250,1050.1567274942724
251,1050.160730375648
252,1050.1591691986011
253,1050.1561909710358
254,1050.153212743466
255,1050.150234515898
256,1050.1472562883287
257,1050.1442780607551
258,1050.1412998331903
259,1050.1383216056179
260,1050.1353433780534
261,1050.132365150481
262,1050.1293869229132
263,1050.1264086953458
264,1050.1234304677757
265,1050.120452240208
266,1050.1174740126378
267,1050.1144957850674
268,1050.1115175574998
269,1050.1085393299306
270,1050.1055611023642
271,1050.1025828747947
272,1050.0996046472242
273,1050.0966264196556
274,1050.0936481920876
275,1050.09066996452
276,1050.0876917369474
277,1050.0847135093818
278,1050.0817352818117
279,1050.0787570542427
280,1050.0757788266721
281,1050.0728005991036
282,1050.0698223715342
283,1050.0668441439673
284,1050.0638659163942
285,1050.0608876888305
286,1050.0579094612592
287,1050.0549312336914
288,1050.0519530061192
289,1050.0489747785514
290,1050.0459965509822
291,1050.0430183234155
292,1050.0400400958463
293,1050.0370618682791
294,1050.034083640706
295,1050.0311054131382
296,1050.0281271855706
297,1050.0251489580025
298,1050.0221707304315
299,1050.019192502862
300,1050.0162142752938
301,1050.013236047725
302,1050.010257820157
303,1050.0072795925857
304,1050.004301365022
305,1050.00132313745
306,1049.998344909881
307,1049.9953666823124
308,1049.9923884547447
309,1049.9894102271755
310,1049.9864319996063
311,1049.9834537720371
312,1049.9843989762587
313,1049.9863433973537
314,1049.988287818455
315,1049.9902322395462
316,1049.9921766606437
317,1049.9941210817428
318,1049.9960655028378
319,1049.9980099239335
320,1049.9999543450335
321,1050.0018987661294
